Period,Series,Value,Chart_Type,Country
Jan-2024,Total cases,1055.0,bar,Bangladesh
Feb-2024,Total cases,339.0,bar,Bangladesh
Mar-2024,Total cases,311.0,bar,Bangladesh
Apr-2024,Total cases,504.0,bar,Bangladesh
May-2024,Total cases,644.0,bar,Bangladesh
Jun-2024,Total cases,798.0,bar,Bangladesh
Jul-2024,Total cases,2669.0,bar,Bangladesh
Aug-2024,Total cases,6521.0,bar,Bangladesh
Sep-2024,Total cases,18097.0,bar,Bangladesh
Oct-2024,Total cases,30879.0,bar,Bangladesh
Nov-2024,Total cases,29652.0,bar,Bangladesh
Dec-2024,Total cases,9745.0,bar,Bangladesh
Jan-2025,Total cases,1161.0,bar,Bangladesh
Feb-2025,Total cases,374.0,bar,Bangladesh
Mar-2025,Total cases,336.0,bar,Bangladesh
Apr-2025,Total cases,701.0,bar,Bangladesh
May-2025,Total cases,1773.0,bar,Bangladesh
Jun-2025,Total cases,5951.0,bar,Bangladesh
Jul-2025,Total cases,10684.0,bar,Bangladesh
Aug-2025,Total cases,10496.0,bar,Bangladesh
