Month,Year,Value,Chart_Type,Country
Jan,2019,0.0,line,Bangladesh
Feb,2019,0.0,line,Bangladesh
Mar,2019,0.0,line,Bangladesh
Apr,2019,0.0,line,Bangladesh
May,2019,0.0,line,Bangladesh
June,2019,0.0,line,Bangladesh
July,2019,4185.0,line,Bangladesh
Aug,2019,51754.0,line,Bangladesh
Sep,2019,17758.0,line,Bangladesh
Oct,2019,8143.0,line,Bangladesh
Nov,2019,4011.0,line,Bangladesh
Dec,2019,1247.0,line,Bangladesh
Jan,2022,126.0,line,Bangladesh
Feb,2022,20.0,line,Bangladesh
Mar,2022,20.0,line,Bangladesh
Apr,2022,23.0,line,Bangladesh
May,2022,163.0,line,Bangladesh
June,2022,737.0,line,Bangladesh
July,2022,1571.0,line,Bangladesh
Aug,2022,3521.0,line,Bangladesh
Sep,2022,9911.0,line,Bangladesh
Oct,2022,21932.0,line,Bangladesh
Nov,2022,19334.0,line,Bangladesh
Dec,2022,5024.0,line,Bangladesh
Jan,2023,566.0,line,Bangladesh
Feb,2023,166.0,line,Bangladesh
Mar,2023,111.0,line,Bangladesh
Apr,2023,143.0,line,Bangladesh
May,2023,1036.0,line,Bangladesh
June,2023,5956.0,line,Bangladesh
July,2023,43854.0,line,Bangladesh
Aug,2023,71976.0,line,Bangladesh
Sep,2023,79598.0,line,Bangladesh
Oct,2023,67769.0,line,Bangladesh
Nov,2023,40716.0,line,Bangladesh
Dec,2023,9288.0,line,Bangladesh
Jan,2024,1055.0,line,Bangladesh
Feb,2024,339.0,line,Bangladesh
Mar,2024,311.0,line,Bangladesh
Apr,2024,504.0,line,Bangladesh
May,2024,644.0,line,Bangladesh
June,2024,798.0,line,Bangladesh
July,2024,2669.0,line,Bangladesh
Aug,2024,6521.0,line,Bangladesh
Sep,2024,18097.0,line,Bangladesh
Oct,2024,30879.0,line,Bangladesh
Nov,2024,29652.0,line,Bangladesh
Dec,2024,9745.0,line,Bangladesh
Jan,2025,1161.0,line,Bangladesh
Feb,2025,374.0,line,Bangladesh
Mar,2025,336.0,line,Bangladesh
Apr,2025,701.0,line,Bangladesh
May,2025,0.0,line,Bangladesh
June,2025,0.0,line,Bangladesh
July,2025,0.0,line,Bangladesh
Aug,2025,0.0,line,Bangladesh
Sep,2025,0.0,line,Bangladesh
Oct,2025,0.0,line,Bangladesh
Nov,2025,0.0,line,Bangladesh
Dec,2025,0.0,line,Bangladesh
