Region,Date,Cases
,,
ACEH,Dec-2024,352
BABEL,Dec-2024,130
BALI,Dec-2024,718
BANTEN,Dec-2024,389
BENGKULU,Dec-2024,105
D.I YOGYA,Dec-2024,393
DKI JAKARTA,Dec-2024,382
GORONTALO,Dec-2024,79
JAMBI,Dec-2024,149
JAWA BARAT,Dec-2024,"2,792"
JAWA TENGAH,Dec-2024,"1,494"
JAWA TIMUR,Dec-2024,"2,277"
KALIMANTAN BARAT,Dec-2024,98
KALIMANTAN SELATA,Dec-2024,48
KALIMANTAN TENGAH,Dec-2024,61
KALIMANTAN TIMUR,Dec-2024,488
KALIMANTAN UTARA,Dec-2024,16
KEPULAUAN RIAU,Dec-2024,266
LAMPUNG,Dec-2024,877
MALUKU,Dec-2024,6
MALUKU UTARA,Dec-2024,2
NUSA TENGGARA BARAT,Dec-2024,386
NUSA TENGGARA TIMUR,Dec-2024,268
PAPUA,Dec-2024,49
PAPUA BARAT,Dec-2024,0
PAPUA BARAT DAYA,Dec-2024,13
PAPUA PEGUNUNGAN,Dec-2024,0
PAPUA SELATAN,Dec-2024,0
PAPUA TENGAH,Dec-2024,0
RIAU,Dec-2024,352
SULAWESI BARAT,Dec-2024,121
SULAWESI SELATA,Dec-2024,470
SULAWESI TENGAH,Dec-2024,94
SULAWESI TENGGARA,Dec-2024,66
SULAWESI UTARA,Dec-2024,136
SUMATERA BARAT,Dec-2024,222
SUMATERA SELATA,Dec-2024,403
SUMATERA UTARA,Dec-2024,510
,,
ACEH,Dec-2024,352
BABEL,Dec-2024,130
BALI,Dec-2024,718
BANTEN,Dec-2024,389
BENGKULU,Dec-2024,105
D.I YOGYA,Dec-2024,393
DKI JAKARTA,Dec-2024,382
GORONTALO,Dec-2024,79
JAMBI,Dec-2024,149
JAWA BARAT,Dec-2024,"2,792"
JAWA TENGAH,Dec-2024,"1,494"
JAWA TIMUR,Dec-2024,"2,277"
KALIMANTAN BARAT,Dec-2024,98
KALIMANTAN SELATA,Dec-2024,48
KALIMANTAN TENGAH,Dec-2024,61
KALIMANTAN TIMUR,Dec-2024,488
KALIMANTAN UTARA,Dec-2024,16
KEPULAUAN RIAU,Dec-2024,266
LAMPUNG,Dec-2024,877
MALUKU,Dec-2024,6
MALUKU UTARA,Dec-2024,2
NUSA TENGGARA BARAT,Dec-2024,386
NUSA TENGGARA TIMUR,Dec-2024,268
PAPUA,Dec-2024,49
PAPUA BARAT,Dec-2024,0
PAPUA BARAT DAYA,Dec-2024,13
PAPUA PEGUNUNGAN,Dec-2024,0
PAPUA SELATAN,Dec-2024,0
PAPUA TENGAH,Dec-2024,0
RIAU,Dec-2024,352
SULAWESI BARAT,Dec-2024,121
SULAWESI SELATA,Dec-2024,470
SULAWESI TENGAH,Dec-2024,94
SULAWESI TENGGARA,Dec-2024,66
SULAWESI UTARA,Dec-2024,136
SUMATERA BARAT,Dec-2024,222
SUMATERA SELATA,Dec-2024,403
SUMATERA UTARA,Dec-2024,510
,,
ACEH,Nov-2024,413
BABEL,Nov-2024,123
BALI,Nov-2024,525
BANTEN,Nov-2024,389
BENGKULU,Nov-2024,135
D.I YOGYA,Nov-2024,229
DKI JAKARTA,Nov-2024,273
GORONTALO,Nov-2024,105
JAMBI,Nov-2024,195
JAWA BARAT,Nov-2024,"2,309"
JAWA TENGAH,Nov-2024,"1,160"
JAWA TIMUR,Nov-2024,"1,473"
KALIMANTAN BARAT,Nov-2024,167
KALIMANTAN SELATA,Nov-2024,38
KALIMANTAN TENGAH,Nov-2024,85
KALIMANTAN TIMUR,Nov-2024,587
KALIMANTAN UTARA,Nov-2024,48
KEPULAUAN RIAU,Nov-2024,249
LAMPUNG,Nov-2024,518
MALUKU,Nov-2024,4
MALUKU UTARA,Nov-2024,39
NUSA TENGGARA BARAT,Nov-2024,206
NUSA TENGGARA TIMUR,Nov-2024,201
PAPUA,Nov-2024,76
PAPUA BARAT,Nov-2024,0
PAPUA BARAT DAYA,Nov-2024,22
PAPUA PEGUNUNGAN,Nov-2024,0
PAPUA SELATAN,Nov-2024,0
PAPUA TENGAH,Nov-2024,0
RIAU,Nov-2024,311
SULAWESI BARAT,Nov-2024,116
SULAWESI SELATA,Nov-2024,275
SULAWESI TENGAH,Nov-2024,109
SULAWESI TENGGARA,Nov-2024,65
SULAWESI UTARA,Nov-2024,121
SUMATERA BARAT,Nov-2024,227
SUMATERA SELATA,Nov-2024,330
SUMATERA UTARA,Nov-2024,852
,,
ACEH,Oct-2024,446
BABEL,Oct-2024,69
BALI,Oct-2024,464
BANTEN,Oct-2024,365
BENGKULU,Oct-2024,113
D.I YOGYA,Oct-2024,179
DKI JAKARTA,Oct-2024,264
GORONTALO,Oct-2024,114
JAMBI,Oct-2024,145
JAWA BARAT,Oct-2024,"2,016"
JAWA TENGAH,Oct-2024,961
JAWA TIMUR,Oct-2024,"1,370"
KALIMANTAN BARAT,Oct-2024,118
KALIMANTAN SELATA,Oct-2024,33
KALIMANTAN TENGAH,Oct-2024,65
KALIMANTAN TIMUR,Oct-2024,650
KALIMANTAN UTARA,Oct-2024,41
KEPULAUAN RIAU,Oct-2024,180
LAMPUNG,Oct-2024,324
MALUKU,Oct-2024,0
MALUKU UTARA,Oct-2024,41
NUSA TENGGARA BARAT,Oct-2024,176
NUSA TENGGARA TIMUR,Oct-2024,131
PAPUA,Oct-2024,38
PAPUA BARAT,Oct-2024,0
PAPUA BARAT DAYA,Oct-2024,34
PAPUA PEGUNUNGAN,Oct-2024,0
PAPUA SELATAN,Oct-2024,0
PAPUA TENGAH,Oct-2024,2
RIAU,Oct-2024,433
SULAWESI BARAT,Oct-2024,247
SULAWESI SELATA,Oct-2024,201
SULAWESI TENGAH,Oct-2024,143
SULAWESI TENGGARA,Oct-2024,53
SULAWESI UTARA,Oct-2024,127
SUMATERA BARAT,Oct-2024,245
SUMATERA SELATA,Oct-2024,211
SUMATERA UTARA,Oct-2024,971
,,
ACEH,Sep-2024,373
BABEL,Sep-2024,63
BALI,Sep-2024,513
BANTEN,Sep-2024,386
BENGKULU,Sep-2024,102
D.I YOGYA,Sep-2024,184
DKI JAKARTA,Sep-2024,332
GORONTALO,Sep-2024,164
JAMBI,Sep-2024,102
JAWA BARAT,Sep-2024,"2,522"
JAWA TENGAH,Sep-2024,774
JAWA TIMUR,Sep-2024,"1,192"
KALIMANTAN BARAT,Sep-2024,116
KALIMANTAN SELATA,Sep-2024,47
KALIMANTAN TENGAH,Sep-2024,53
KALIMANTAN TIMUR,Sep-2024,801
KALIMANTAN UTARA,Sep-2024,38
KEPULAUAN RIAU,Sep-2024,146
LAMPUNG,Sep-2024,265
MALUKU,Sep-2024,1
MALUKU UTARA,Sep-2024,71
NUSA TENGGARA BARAT,Sep-2024,217
NUSA TENGGARA TIMUR,Sep-2024,85
PAPUA,Sep-2024,13
PAPUA BARAT,Sep-2024,0
PAPUA BARAT DAYA,Sep-2024,8
PAPUA PEGUNUNGAN,Sep-2024,0
PAPUA SELATAN,Sep-2024,0
PAPUA TENGAH,Sep-2024,2
RIAU,Sep-2024,311
SULAWESI BARAT,Sep-2024,188
SULAWESI SELATA,Sep-2024,228
SULAWESI TENGAH,Sep-2024,132
SULAWESI TENGGARA,Sep-2024,59
SULAWESI UTARA,Sep-2024,154
SUMATERA BARAT,Sep-2024,210
SUMATERA SELATA,Sep-2024,142
SUMATERA UTARA,Sep-2024,"1,080"
,,
ACEH,Aug-2024,362
BABEL,Aug-2024,118
BALI,Aug-2024,732
BANTEN,Aug-2024,674
BENGKULU,Aug-2024,148
D.I YOGYA,Aug-2024,213
DKI JAKARTA,Aug-2024,626
GORONTALO,Aug-2024,228
JAMBI,Aug-2024,138
JAWA BARAT,Aug-2024,"3,481"
JAWA TENGAH,Aug-2024,"1,055"
JAWA TIMUR,Aug-2024,"1,432"
KALIMANTAN BARAT,Aug-2024,87
KALIMANTAN SELATA,Aug-2024,53
KALIMANTAN TENGAH,Aug-2024,72
KALIMANTAN TIMUR,Aug-2024,"1,094"
KALIMANTAN UTARA,Aug-2024,50
KEPULAUAN RIAU,Aug-2024,169
LAMPUNG,Aug-2024,450
MALUKU,Aug-2024,6
MALUKU UTARA,Aug-2024,81
NUSA TENGGARA BARAT,Aug-2024,229
NUSA TENGGARA TIMUR,Aug-2024,105
PAPUA,Aug-2024,19
PAPUA BARAT,Aug-2024,0
PAPUA BARAT DAYA,Aug-2024,16
PAPUA PEGUNUNGAN,Aug-2024,0
PAPUA SELATAN,Aug-2024,0
PAPUA TENGAH,Aug-2024,28
RIAU,Aug-2024,227
SULAWESI BARAT,Aug-2024,156
SULAWESI SELATA,Aug-2024,408
SULAWESI TENGAH,Aug-2024,196
SULAWESI TENGGARA,Aug-2024,81
SULAWESI UTARA,Aug-2024,245
SUMATERA BARAT,Aug-2024,229
SUMATERA SELATA,Aug-2024,232
SUMATERA UTARA,Aug-2024,"1,123"
,,
ACEH,Jul-2024,334
BABEL,Jul-2024,153
BALI,Jul-2024,"1,243"
BANTEN,Jul-2024,"1,003"
BENGKULU,Jul-2024,158
D.I YOGYA,Jul-2024,370
DKI JAKARTA,Jul-2024,722
GORONTALO,Jul-2024,253
JAMBI,Jul-2024,187
JAWA BARAT,Jul-2024,"5,286"
JAWA TENGAH,Jul-2024,"1,474"
JAWA TIMUR,Jul-2024,"2,092"
KALIMANTAN BARAT,Jul-2024,99
KALIMANTAN SELATA,Jul-2024,81
KALIMANTAN TENGAH,Jul-2024,81
KALIMANTAN TIMUR,Jul-2024,"1,013"
KALIMANTAN UTARA,Jul-2024,65
KEPULAUAN RIAU,Jul-2024,181
LAMPUNG,Jul-2024,652
MALUKU,Jul-2024,8
MALUKU UTARA,Jul-2024,115
NUSA TENGGARA BARAT,Jul-2024,275
NUSA TENGGARA TIMUR,Jul-2024,121
PAPUA,Jul-2024,31
PAPUA BARAT,Jul-2024,0
PAPUA BARAT DAYA,Jul-2024,11
PAPUA PEGUNUNGAN,Jul-2024,0
PAPUA SELATAN,Jul-2024,0
PAPUA TENGAH,Jul-2024,43
RIAU,Jul-2024,268
SULAWESI BARAT,Jul-2024,236
SULAWESI SELATA,Jul-2024,498
SULAWESI TENGAH,Jul-2024,204
SULAWESI TENGGARA,Jul-2024,65
SULAWESI UTARA,Jul-2024,259
SUMATERA BARAT,Jul-2024,261
SUMATERA SELATA,Jul-2024,273
SUMATERA UTARA,Jul-2024,"1,150"
,,
ACEH,Jun-2024,264
BABEL,Jun-2024,125
BALI,Jun-2024,"2,168"
BANTEN,Jun-2024,"1,333"
BENGKULU,Jun-2024,240
D.I YOGYA,Jun-2024,452
DKI JAKARTA,Jun-2024,"1,201"
GORONTALO,Jun-2024,195
JAMBI,Jun-2024,162
JAWA BARAT,Jun-2024,"6,661"
JAWA TENGAH,Jun-2024,"1,811"
JAWA TIMUR,Jun-2024,"3,220"
KALIMANTAN BARAT,Jun-2024,91
KALIMANTAN SELATA,Jun-2024,70
KALIMANTAN TENGAH,Jun-2024,124
KALIMANTAN TIMUR,Jun-2024,753
KALIMANTAN UTARA,Jun-2024,58
KEPULAUAN RIAU,Jun-2024,132
LAMPUNG,Jun-2024,833
MALUKU,Jun-2024,37
MALUKU UTARA,Jun-2024,134
NUSA TENGGARA BARAT,Jun-2024,403
NUSA TENGGARA TIMUR,Jun-2024,215
PAPUA,Jun-2024,32
PAPUA BARAT,Jun-2024,0
PAPUA BARAT DAYA,Jun-2024,15
PAPUA PEGUNUNGAN,Jun-2024,0
PAPUA SELATAN,Jun-2024,0
PAPUA TENGAH,Jun-2024,22
RIAU,Jun-2024,234
SULAWESI BARAT,Jun-2024,341
SULAWESI SELATA,Jun-2024,534
SULAWESI TENGAH,Jun-2024,202
SULAWESI TENGGARA,Jun-2024,100
SULAWESI UTARA,Jun-2024,348
SUMATERA BARAT,Jun-2024,238
SUMATERA SELATA,Jun-2024,272
SUMATERA UTARA,Jun-2024,"1,078"
,,
ACEH,May-2024,175
BABEL,May-2024,197
BALI,May-2024,"3,329"
BANTEN,May-2024,"1,570"
BENGKULU,May-2024,374
D.I YOGYA,May-2024,536
DKI JAKARTA,May-2024,"3,018"
GORONTALO,May-2024,210
JAMBI,May-2024,214
JAWA BARAT,May-2024,"8,689"
JAWA TENGAH,May-2024,"2,350"
JAWA TIMUR,May-2024,"4,396"
KALIMANTAN BARAT,May-2024,118
KALIMANTAN SELATA,May-2024,128
KALIMANTAN TENGAH,May-2024,228
KALIMANTAN TIMUR,May-2024,716
KALIMANTAN UTARA,May-2024,66
KEPULAUAN RIAU,May-2024,69
LAMPUNG,May-2024,998
MALUKU,May-2024,44
MALUKU UTARA,May-2024,129
NUSA TENGGARA BARAT,May-2024,568
NUSA TENGGARA TIMUR,May-2024,403
PAPUA,May-2024,38
PAPUA BARAT,May-2024,27
PAPUA BARAT DAYA,May-2024,24
PAPUA PEGUNUNGAN,May-2024,56
PAPUA SELATAN,May-2024,0
PAPUA TENGAH,May-2024,148
RIAU,May-2024,160
SULAWESI BARAT,May-2024,215
SULAWESI SELATA,May-2024,559
SULAWESI TENGAH,May-2024,281
SULAWESI TENGGARA,May-2024,171
SULAWESI UTARA,May-2024,411
SUMATERA BARAT,May-2024,265
SUMATERA SELATA,May-2024,381
SUMATERA UTARA,May-2024,759
,,
ACEH,Apr-2024,112
BABEL,Apr-2024,118
BALI,Apr-2024,"2,602"
BANTEN,Apr-2024,"1,594"
BENGKULU,Apr-2024,371
D.I YOGYA,Apr-2024,494
DKI JAKARTA,Apr-2024,"3,166"
GORONTALO,Apr-2024,160
JAMBI,Apr-2024,196
JAWA BARAT,Apr-2024,"8,209"
JAWA TENGAH,Apr-2024,"1,902"
JAWA TIMUR,Apr-2024,"4,347"
KALIMANTAN BARAT,Apr-2024,120
KALIMANTAN SELATA,Apr-2024,118
KALIMANTAN TENGAH,Apr-2024,239
KALIMANTAN TIMUR,Apr-2024,808
KALIMANTAN UTARA,Apr-2024,60
KEPULAUAN RIAU,Apr-2024,39
LAMPUNG,Apr-2024,906
MALUKU,Apr-2024,46
MALUKU UTARA,Apr-2024,92
NUSA TENGGARA BARAT,Apr-2024,499
NUSA TENGGARA TIMUR,Apr-2024,645
PAPUA,Apr-2024,40
PAPUA BARAT,Apr-2024,23
PAPUA BARAT DAYA,Apr-2024,20
PAPUA PEGUNUNGAN,Apr-2024,147
PAPUA SELATAN,Apr-2024,0
PAPUA TENGAH,Apr-2024,91
RIAU,Apr-2024,136
SULAWESI BARAT,Apr-2024,154
SULAWESI SELATA,Apr-2024,467
SULAWESI TENGAH,Apr-2024,228
SULAWESI TENGGARA,Apr-2024,422
SULAWESI UTARA,Apr-2024,468
SUMATERA BARAT,Apr-2024,221
SUMATERA SELATA,Apr-2024,403
SUMATERA UTARA,Apr-2024,460
,,
ACEH,Mar-2024,128
BABEL,Mar-2024,189
BALI,Mar-2024,"1,654"
BANTEN,Mar-2024,"2,258"
BENGKULU,Mar-2024,583
D.I YOGYA,Mar-2024,543
DKI JAKARTA,Mar-2024,"2,199"
GORONTALO,Mar-2024,171
JAMBI,Mar-2024,185
JAWA BARAT,Mar-2024,"8,172"
JAWA TENGAH,Mar-2024,"2,039"
JAWA TIMUR,Mar-2024,"4,404"
KALIMANTAN BARAT,Mar-2024,239
KALIMANTAN SELATA,Mar-2024,328
KALIMANTAN TENGAH,Mar-2024,476
KALIMANTAN TIMUR,Mar-2024,"1,024"
KALIMANTAN UTARA,Mar-2024,84
KEPULAUAN RIAU,Mar-2024,72
LAMPUNG,Mar-2024,"1,466"
MALUKU,Mar-2024,37
MALUKU UTARA,Mar-2024,133
NUSA TENGGARA BARAT,Mar-2024,543
NUSA TENGGARA TIMUR,Mar-2024,803
PAPUA,Mar-2024,56
PAPUA BARAT,Mar-2024,51
PAPUA BARAT DAYA,Mar-2024,35
PAPUA PEGUNUNGAN,Mar-2024,32
PAPUA SELATAN,Mar-2024,0
PAPUA TENGAH,Mar-2024,45
RIAU,Mar-2024,176
SULAWESI BARAT,Mar-2024,176
SULAWESI SELATA,Mar-2024,765
