Region,Date,Cases
,,
ACEH,Mar-11,295
BABEL,Mar-11,12
BALI,Mar-11,488
BANTEN,Mar-11,181
BENGKULU,Mar-11,39
D.I YOGYA,Mar-11,183
DKI JAKARTA,Mar-11,820
GORONTALO,Mar-11,2
JAMBI,Mar-11,21
JAWA BARAT,Mar-11,"1,385"
JAWA TENGAH,Mar-11,663
JAWA TIMUR,Mar-11,593
KALIMANTAN BARAT,Mar-11,20
KALIMANTAN SELATA,Mar-11,9
KALIMANTAN TENGAH,Mar-11,9
KALIMANTAN TIMUR,Mar-11,171
KEPULAUAN RIAU,Mar-11,50
LAMPUNG,Mar-11,91
MALUKU,Mar-11,0
MALUKU UTARA,Mar-11,17
NUSA TENGGARA BARAT,Mar-11,57
NUSA TENGGARA TIMUR,Mar-11,59
PAPUA,Mar-11,0
PAPUA BARAT,Mar-11,0
RIAU,Mar-11,124
SULAWESI BARAT,Mar-11,3
SULAWESI SELATA,Mar-11,153
SULAWESI TENGAH,Mar-11,202
SULAWESI TENGGARA,Mar-11,22
SULAWESI UTARA,Mar-11,32
SUMATERA BARAT,Mar-11,100
SUMATERA SELATA,Mar-11,94
SUMATERA UTARA,Mar-11,579
,,
ACEH,Feb-11,328
BABEL,Feb-11,7
BALI,Feb-11,589
BANTEN,Feb-11,211
BENGKULU,Feb-11,38
D.I YOGYA,Feb-11,175
DKI JAKARTA,Feb-11,801
GORONTALO,Feb-11,4
JAMBI,Feb-11,30
JAWA BARAT,Feb-11,"1,418"
JAWA TENGAH,Feb-11,632
JAWA TIMUR,Feb-11,682
KALIMANTAN BARAT,Feb-11,12
KALIMANTAN SELATA,Feb-11,8
KALIMANTAN TENGAH,Feb-11,15
KALIMANTAN TIMUR,Feb-11,133
KEPULAUAN RIAU,Feb-11,60
LAMPUNG,Feb-11,126
MALUKU,Feb-11,0
MALUKU UTARA,Feb-11,42
NUSA TENGGARA BARAT,Feb-11,70
NUSA TENGGARA TIMUR,Feb-11,78
PAPUA,Feb-11,0
PAPUA BARAT,Feb-11,0
RIAU,Feb-11,81
SULAWESI BARAT,Feb-11,7
SULAWESI SELATA,Feb-11,180
SULAWESI TENGAH,Feb-11,84
SULAWESI TENGGARA,Feb-11,34
SULAWESI UTARA,Feb-11,54
SUMATERA BARAT,Feb-11,96
SUMATERA SELATA,Feb-11,77
SUMATERA UTARA,Feb-11,530
,,
ACEH,Jan-11,373
BABEL,Jan-11,1
BALI,Jan-11,649
BANTEN,Jan-11,254
BENGKULU,Jan-11,44
D.I YOGYA,Jan-11,235
DKI JAKARTA,Jan-11,"1,093"
GORONTALO,Jan-11,7
JAMBI,Jan-11,38
JAWA BARAT,Jan-11,"2,016"
JAWA TENGAH,Jan-11,813
JAWA TIMUR,Jan-11,"1,035"
KALIMANTAN BARAT,Jan-11,20
KALIMANTAN SELATA,Jan-11,7
KALIMANTAN TENGAH,Jan-11,11
KALIMANTAN TIMUR,Jan-11,142
KEPULAUAN RIAU,Jan-11,74
LAMPUNG,Jan-11,134
MALUKU,Jan-11,0
MALUKU UTARA,Jan-11,58
NUSA TENGGARA BARAT,Jan-11,139
NUSA TENGGARA TIMUR,Jan-11,70
PAPUA,Jan-11,0
PAPUA BARAT,Jan-11,0
RIAU,Jan-11,78
SULAWESI BARAT,Jan-11,7
SULAWESI SELATA,Jan-11,186
SULAWESI TENGAH,Jan-11,123
SULAWESI TENGGARA,Jan-11,20
SULAWESI UTARA,Jan-11,62
SUMATERA BARAT,Jan-11,101
SUMATERA SELATA,Jan-11,99
SUMATERA UTARA,Jan-11,603
,,
ACEH,Dec-10,360
BABEL,Dec-10,0
BALI,Dec-10,26
BANTEN,Dec-10,299
BENGKULU,Dec-10,16
D.I YOGYA,Dec-10,219
DKI JAKARTA,Dec-10,"1,155"
GORONTALO,Dec-10,6
JAMBI,Dec-10,9
JAWA BARAT,Dec-10,616
JAWA TENGAH,Dec-10,703
JAWA TIMUR,Dec-10,655
KALIMANTAN BARAT,Dec-10,7
KALIMANTAN SELATA,Dec-10,14
KALIMANTAN TENGAH,Dec-10,7
KALIMANTAN TIMUR,Dec-10,57
KEPULAUAN RIAU,Dec-10,128
LAMPUNG,Dec-10,98
MALUKU,Dec-10,0
MALUKU UTARA,Dec-10,16
NUSA TENGGARA BARAT,Dec-10,124
NUSA TENGGARA TIMUR,Dec-10,23
PAPUA,Dec-10,0
PAPUA BARAT,Dec-10,0
RIAU,Dec-10,90
SULAWESI BARAT,Dec-10,0
SULAWESI SELATA,Dec-10,21
SULAWESI TENGAH,Dec-10,112
SULAWESI TENGGARA,Dec-10,0
SULAWESI UTARA,Dec-10,40
SUMATERA BARAT,Dec-10,67
SUMATERA SELATA,Dec-10,44
SUMATERA UTARA,Dec-10,669
,,
ACEH,Nov-10,363
BABEL,Nov-10,0
BALI,Nov-10,662
BANTEN,Nov-10,402
BENGKULU,Nov-10,37
D.I YOGYA,Nov-10,243
DKI JAKARTA,Nov-10,"1,544"
GORONTALO,Nov-10,4
JAMBI,Nov-10,12
JAWA BARAT,Nov-10,893
JAWA TENGAH,Nov-10,835
JAWA TIMUR,Nov-10,857
KALIMANTAN BARAT,Nov-10,17
KALIMANTAN SELATA,Nov-10,26
KALIMANTAN TENGAH,Nov-10,2
KALIMANTAN TIMUR,Nov-10,135
KEPULAUAN RIAU,Nov-10,125
LAMPUNG,Nov-10,121
MALUKU,Nov-10,0
MALUKU UTARA,Nov-10,15
NUSA TENGGARA BARAT,Nov-10,113
NUSA TENGGARA TIMUR,Nov-10,16
PAPUA,Nov-10,0
PAPUA BARAT,Nov-10,0
RIAU,Nov-10,51
SULAWESI BARAT,Nov-10,0
SULAWESI SELATA,Nov-10,59
SULAWESI TENGAH,Nov-10,135
SULAWESI TENGGARA,Nov-10,0
SULAWESI UTARA,Nov-10,36
SUMATERA BARAT,Nov-10,95
SUMATERA SELATA,Nov-10,57
SUMATERA UTARA,Nov-10,850
,,
ACEH,Oct-10,374
BABEL,Oct-10,2
BALI,Oct-10,582
BANTEN,Oct-10,471
BENGKULU,Oct-10,52
D.I YOGYA,Oct-10,182
DKI JAKARTA,Oct-10,"1,181"
GORONTALO,Oct-10,7
JAMBI,Oct-10,9
JAWA BARAT,Oct-10,"1,455"
JAWA TENGAH,Oct-10,856
JAWA TIMUR,Oct-10,803
KALIMANTAN BARAT,Oct-10,20
KALIMANTAN SELATA,Oct-10,11
KALIMANTAN TENGAH,Oct-10,0
KALIMANTAN TIMUR,Oct-10,139
KEPULAUAN RIAU,Oct-10,129
LAMPUNG,Oct-10,108
MALUKU,Oct-10,0
MALUKU UTARA,Oct-10,13
NUSA TENGGARA BARAT,Oct-10,55
NUSA TENGGARA TIMUR,Oct-10,14
PAPUA,Oct-10,0
PAPUA BARAT,Oct-10,0
RIAU,Oct-10,63
SULAWESI BARAT,Oct-10,0
SULAWESI SELATA,Oct-10,375
SULAWESI TENGAH,Oct-10,166
SULAWESI TENGGARA,Oct-10,0
SULAWESI UTARA,Oct-10,50
SUMATERA BARAT,Oct-10,87
SUMATERA SELATA,Oct-10,86
SUMATERA UTARA,Oct-10,859
,,
ACEH,Sep-10,253
BABEL,Sep-10,2
BALI,Sep-10,530
BANTEN,Sep-10,498
BENGKULU,Sep-10,33
D.I YOGYA,Sep-10,210
DKI JAKARTA,Sep-10,"1,302"
GORONTALO,Sep-10,5
JAMBI,Sep-10,3
JAWA BARAT,Sep-10,"1,651"
JAWA TENGAH,Sep-10,936
JAWA TIMUR,Sep-10,465
KALIMANTAN BARAT,Sep-10,33
KALIMANTAN SELATA,Sep-10,13
KALIMANTAN TENGAH,Sep-10,4
KALIMANTAN TIMUR,Sep-10,264
KEPULAUAN RIAU,Sep-10,94
LAMPUNG,Sep-10,88
MALUKU,Sep-10,0
MALUKU UTARA,Sep-10,19
NUSA TENGGARA BARAT,Sep-10,75
NUSA TENGGARA TIMUR,Sep-10,12
PAPUA,Sep-10,1
PAPUA BARAT,Sep-10,0
RIAU,Sep-10,40
SULAWESI BARAT,Sep-10,0
SULAWESI SELATA,Sep-10,172
SULAWESI TENGAH,Sep-10,133
SULAWESI TENGGARA,Sep-10,1
SULAWESI UTARA,Sep-10,52
SUMATERA BARAT,Sep-10,79
SUMATERA SELATA,Sep-10,59
SUMATERA UTARA,Sep-10,959
,,
ACEH,Aug-10,183
BABEL,Aug-10,2
BALI,Aug-10,868
BANTEN,Aug-10,544
BENGKULU,Aug-10,38
D.I YOGYA,Aug-10,305
DKI JAKARTA,Aug-10,"1,569"
GORONTALO,Aug-10,2
JAMBI,Aug-10,14
JAWA BARAT,Aug-10,"2,010"
JAWA TENGAH,Aug-10,997
JAWA TIMUR,Aug-10,778
KALIMANTAN BARAT,Aug-10,22
KALIMANTAN SELATA,Aug-10,15
KALIMANTAN TENGAH,Aug-10,7
KALIMANTAN TIMUR,Aug-10,296
KEPULAUAN RIAU,Aug-10,174
LAMPUNG,Aug-10,134
MALUKU,Aug-10,0
MALUKU UTARA,Aug-10,10
NUSA TENGGARA BARAT,Aug-10,55
NUSA TENGGARA TIMUR,Aug-10,2
PAPUA,Aug-10,24
PAPUA BARAT,Aug-10,0
RIAU,Aug-10,49
SULAWESI BARAT,Aug-10,0
SULAWESI SELATA,Aug-10,102
SULAWESI TENGAH,Aug-10,160
