Region,Date,Cases
,,
ACEH,Jul-2024,343
BABEL,Jul-2024,153
BALI,Jul-2024,"1,243"
BANTEN,Jul-2024,790
BENGKULU,Jul-2024,145
D.I YOGYA,Jul-2024,263
DKI JAKARTA,Jul-2024,712
GORONTALO,Jul-2024,104
JAMBI,Jul-2024,187
JAWA BARAT,Jul-2024,"4,717"
JAWA TENGAH,Jul-2024,"1,526"
JAWA TIMUR,Jul-2024,986
KALIMANTAN BARAT,Jul-2024,80
KALIMANTAN SELATA,Jul-2024,79
KALIMANTAN TENGAH,Jul-2024,62
KALIMANTAN TIMUR,Jul-2024,865
KALIMANTAN UTARA,Jul-2024,65
KEPULAUAN RIAU,Jul-2024,199
LAMPUNG,Jul-2024,652
MALUKU,Jul-2024,0
MALUKU UTARA,Jul-2024,107
NUSA TENGGARA BARAT,Jul-2024,275
NUSA TENGGARA TIMUR,Jul-2024,37
PAPUA,Jul-2024,
PAPUA BARAT,Jul-2024,
PAPUA BARAT DAYA,Jul-2024,
PAPUA PEGUNUNGAN,Jul-2024,
PAPUA SELATAN,Jul-2024,
PAPUA TENGAH,Jul-2024,
RIAU,Jul-2024,262
SULAWESI BARAT,Jul-2024,194
SULAWESI SELATA,Jul-2024,462
SULAWESI TENGAH,Jul-2024,174
SULAWESI TENGGARA,Jul-2024,49
SULAWESI UTARA,Jul-2024,241
SUMATERA BARAT,Jul-2024,219
SUMATERA SELATA,Jul-2024,158
SUMATERA UTARA,Jul-2024,"1,145"
,,
ACEH,Aug-2020,69
BABEL,Aug-2020,66
BALI,Aug-2020,344
BANTEN,Aug-2020,92
BENGKULU,Aug-2020,77
D.I YOGYA,Aug-2020,81
DKI JAKARTA,Aug-2020,75
GORONTALO,Aug-2020,24
JAMBI,Aug-2020,46
JAWA BARAT,Aug-2020,"1,132"
JAWA TENGAH,Aug-2020,223
JAWA TIMUR,Aug-2020,242
KALIMANTAN BARAT,Aug-2020,20
KALIMANTAN SELATA,Aug-2020,23
KALIMANTAN TENGAH,Aug-2020,5
KALIMANTAN TIMUR,Aug-2020,109
KALIMANTAN UTARA,Aug-2020,47
KEPULAUAN RIAU,Aug-2020,209
LAMPUNG,Aug-2020,204
MALUKU,Aug-2020,3
MALUKU UTARA,Aug-2020,12
NUSA TENGGARA BARAT,Aug-2020,81
NUSA TENGGARA TIMUR,Aug-2020,39
PAPUA,Aug-2020,0
PAPUA BARAT,Aug-2020,1
RIAU,Aug-2020,89
SULAWESI BARAT,Aug-2020,6
SULAWESI SELATA,Aug-2020,53
SULAWESI TENGAH,Aug-2020,45
SULAWESI TENGGARA,Aug-2020,17
SULAWESI UTARA,Aug-2020,75
SUMATERA BARAT,Aug-2020,39
SUMATERA SELATA,Aug-2020,79
SUMATERA UTARA,Aug-2020,206
,,
ACEH,Jul-2020,97
BABEL,Jul-2020,59
BALI,Jul-2020,604
BANTEN,Jul-2020,204
BENGKULU,Jul-2020,97
D.I YOGYA,Jul-2020,160
DKI JAKARTA,Jul-2020,140
GORONTALO,Jul-2020,21
JAMBI,Jul-2020,62
JAWA BARAT,Jul-2020,"2,310"
JAWA TENGAH,Jul-2020,324
JAWA TIMUR,Jul-2020,402
KALIMANTAN BARAT,Jul-2020,24
KALIMANTAN SELATA,Jul-2020,14
KALIMANTAN TENGAH,Jul-2020,9
KALIMANTAN TIMUR,Jul-2020,138
KALIMANTAN UTARA,Jul-2020,72
KEPULAUAN RIAU,Jul-2020,258
LAMPUNG,Jul-2020,292
MALUKU,Jul-2020,3
MALUKU UTARA,Jul-2020,10
NUSA TENGGARA BARAT,Jul-2020,148
NUSA TENGGARA TIMUR,Jul-2020,65
PAPUA,Jul-2020,6
PAPUA BARAT,Jul-2020,3
RIAU,Jul-2020,165
SULAWESI BARAT,Jul-2020,23
SULAWESI SELATA,Jul-2020,62
SULAWESI TENGAH,Jul-2020,65
SULAWESI TENGGARA,Jul-2020,17
SULAWESI UTARA,Jul-2020,87
SUMATERA BARAT,Jul-2020,53
SUMATERA SELATA,Jul-2020,60
SUMATERA UTARA,Jul-2020,275
,,
ACEH,Jun-2020,92
BABEL,Jun-2020,53
BALI,Jun-2020,"1,120"
BANTEN,Jun-2020,253
BENGKULU,Jun-2020,137
D.I YOGYA,Jun-2020,247
DKI JAKARTA,Jun-2020,350
GORONTALO,Jun-2020,21
JAMBI,Jun-2020,64
JAWA BARAT,Jun-2020,"2,621"
JAWA TENGAH,Jun-2020,484
JAWA TIMUR,Jun-2020,649
KALIMANTAN BARAT,Jun-2020,19
KALIMANTAN SELATA,Jun-2020,38
KALIMANTAN TENGAH,Jun-2020,11
KALIMANTAN TIMUR,Jun-2020,110
KALIMANTAN UTARA,Jun-2020,31
KEPULAUAN RIAU,Jun-2020,173
LAMPUNG,Jun-2020,341
MALUKU,Jun-2020,7
MALUKU UTARA,Jun-2020,9
NUSA TENGGARA BARAT,Jun-2020,228
NUSA TENGGARA TIMUR,Jun-2020,144
PAPUA,Jun-2020,9
PAPUA BARAT,Jun-2020,3
RIAU,Jun-2020,198
SULAWESI BARAT,Jun-2020,26
SULAWESI SELATA,Jun-2020,96
SULAWESI TENGAH,Jun-2020,74
SULAWESI TENGGARA,Jun-2020,22
SULAWESI UTARA,Jun-2020,58
SUMATERA BARAT,Jun-2020,64
SUMATERA SELATA,Jun-2020,63
SUMATERA UTARA,Jun-2020,291
,,
ACEH,May-2020,48
BABEL,May-2020,76
BALI,May-2020,"2,262"
BANTEN,May-2020,262
BENGKULU,May-2020,113
D.I YOGYA,May-2020,370
DKI JAKARTA,May-2020,717
GORONTALO,May-2020,33
JAMBI,May-2020,96
JAWA BARAT,May-2020,"2,636"
JAWA TENGAH,May-2020,708
JAWA TIMUR,May-2020,870
KALIMANTAN BARAT,May-2020,35
KALIMANTAN SELATA,May-2020,45
KALIMANTAN TENGAH,May-2020,20
KALIMANTAN TIMUR,May-2020,130
KALIMANTAN UTARA,May-2020,28
KEPULAUAN RIAU,May-2020,77
LAMPUNG,May-2020,468
MALUKU,May-2020,17
MALUKU UTARA,May-2020,30
NUSA TENGGARA BARAT,May-2020,485
NUSA TENGGARA TIMUR,May-2020,285
PAPUA,May-2020,15
PAPUA BARAT,May-2020,6
RIAU,May-2020,214
SULAWESI BARAT,May-2020,15
SULAWESI SELATA,May-2020,137
SULAWESI TENGAH,May-2020,71
SULAWESI TENGGARA,May-2020,22
SULAWESI UTARA,May-2020,65
SUMATERA BARAT,May-2020,58
SUMATERA SELATA,May-2020,80
SUMATERA UTARA,May-2020,231
,,
ACEH,Apr-2020,58
BABEL,Apr-2020,48
BALI,Apr-2020,"2,858"
BANTEN,Apr-2020,326
