Region,Date,Cases
,,
ACEH,Jan-16,185
BABEL,Jan-16,158
BALI,Jan-16,"1,025"
BANTEN,Jan-16,"1,088"
BENGKULU,Jan-16,311
D.I YOGYA,Jan-16,529
DKI JAKARTA,Jan-16,980
GORONTALO,Jan-16,323
JAMBI,Jan-16,530
JAWA BARAT,Jan-16,"4,896"
JAWA TENGAH,Jan-16,"2,042"
JAWA TIMUR,Jan-16,"3,590"
KALIMANTAN BARAT,Jan-16,190
KALIMANTAN SELATA,Jan-16,"1,890"
KALIMANTAN TENGAH,Jan-16,622
KALIMANTAN TIMUR,Jan-16,"1,909"
KALIMANTAN UTARA,Jan-16,131
KEPULAUAN RIAU,Jan-16,412
LAMPUNG,Jan-16,952
MALUKU,Jan-16,57
MALUKU UTARA,Jan-16,45
NUSA TENGGARA BARAT,Jan-16,344
NUSA TENGGARA TIMUR,Jan-16,104
PAPUA,Jan-16,90
PAPUA BARAT,Jan-16,24
RIAU,Jan-16,903
SULAWESI BARAT,Jan-16,139
SULAWESI SELATA,Jan-16,"2,132"
SULAWESI TENGAH,Jan-16,493
SULAWESI TENGGARA,Jan-16,524
SULAWESI UTARA,Jan-16,274
SUMATERA BARAT,Jan-16,836
SUMATERA SELATA,Jan-16,"1,234"
SUMATERA UTARA,Jan-16,710
,,
ACEH,Dec-15,170
BABEL,Dec-15,42
BALI,Dec-15,389
BANTEN,Dec-15,157
BENGKULU,Dec-15,118
D.I YOGYA,Dec-15,45
DKI JAKARTA,Dec-15,83
GORONTALO,Dec-15,24
JAMBI,Dec-15,167
JAWA BARAT,Dec-15,952
JAWA TENGAH,Dec-15,712
JAWA TIMUR,Dec-15,740
KALIMANTAN BARAT,Dec-15,53
KALIMANTAN SELATA,Dec-15,400
KALIMANTAN TENGAH,Dec-15,284
KALIMANTAN TIMUR,Dec-15,745
KALIMANTAN UTARA,Dec-15,91
KEPULAUAN RIAU,Dec-15,264
LAMPUNG,Dec-15,153
MALUKU,Dec-15,29
MALUKU UTARA,Dec-15,12
NUSA TENGGARA BARAT,Dec-15,52
NUSA TENGGARA TIMUR,Dec-15,4
PAPUA,Dec-15,58
PAPUA BARAT,Dec-15,9
RIAU,Dec-15,503
SULAWESI BARAT,Dec-15,26
SULAWESI SELATA,Dec-15,398
SULAWESI TENGAH,Dec-15,277
SULAWESI TENGGARA,Dec-15,80
SULAWESI UTARA,Dec-15,0
SUMATERA BARAT,Dec-15,731
SUMATERA SELATA,Dec-15,246
SUMATERA UTARA,Dec-15,313
,,
ACEH,Nov-15,188
BABEL,Nov-15,22
BALI,Nov-15,212
BANTEN,Nov-15,186
BENGKULU,Nov-15,94
D.I YOGYA,Nov-15,80
DKI JAKARTA,Nov-15,113
GORONTALO,Nov-15,1
JAMBI,Nov-15,115
JAWA BARAT,Nov-15,983
JAWA TENGAH,Nov-15,501
JAWA TIMUR,Nov-15,806
KALIMANTAN BARAT,Nov-15,109
KALIMANTAN SELATA,Nov-15,114
KALIMANTAN TENGAH,Nov-15,99
KALIMANTAN TIMUR,Nov-15,377
KALIMANTAN UTARA,Nov-15,56
KEPULAUAN RIAU,Nov-15,201
LAMPUNG,Nov-15,137
MALUKU,Nov-15,16
MALUKU UTARA,Nov-15,12
NUSA TENGGARA BARAT,Nov-15,13
NUSA TENGGARA TIMUR,Nov-15,0
PAPUA,Nov-15,36
PAPUA BARAT,Nov-15,1
RIAU,Nov-15,492
SULAWESI BARAT,Nov-15,32
SULAWESI SELATA,Nov-15,289
SULAWESI TENGAH,Nov-15,134
SULAWESI TENGGARA,Nov-15,85
SULAWESI UTARA,Nov-15,0
SUMATERA BARAT,Nov-15,440
SUMATERA SELATA,Nov-15,191
SUMATERA UTARA,Nov-15,668
,,
ACEH,Oct-15,179
BABEL,Oct-15,17
BALI,Oct-15,219
BANTEN,Oct-15,98
BENGKULU,Oct-15,113
D.I YOGYA,Oct-15,93
DKI JAKARTA,Oct-15,116
GORONTALO,Oct-15,3
JAMBI,Oct-15,47
JAWA BARAT,Oct-15,751
JAWA TENGAH,Oct-15,440
JAWA TIMUR,Oct-15,554
KALIMANTAN BARAT,Oct-15,27
KALIMANTAN SELATA,Oct-15,65
KALIMANTAN TENGAH,Oct-15,22
KALIMANTAN TIMUR,Oct-15,445
KALIMANTAN UTARA,Oct-15,78
KEPULAUAN RIAU,Oct-15,181
LAMPUNG,Oct-15,88
MALUKU,Oct-15,5
MALUKU UTARA,Oct-15,10
NUSA TENGGARA BARAT,Oct-15,19
NUSA TENGGARA TIMUR,Oct-15,0
PAPUA,Oct-15,18
PAPUA BARAT,Oct-15,6
RIAU,Oct-15,266
SULAWESI BARAT,Oct-15,24
SULAWESI SELATA,Oct-15,174
SULAWESI TENGAH,Oct-15,85
SULAWESI TENGGARA,Oct-15,78
SULAWESI UTARA,Oct-15,0
SUMATERA BARAT,Oct-15,305
SUMATERA SELATA,Oct-15,152
SUMATERA UTARA,Oct-15,543
,,
ACEH,Sep-15,138
BABEL,Sep-15,19
BALI,Sep-15,286
BANTEN,Sep-15,117
BENGKULU,Sep-15,83
D.I YOGYA,Sep-15,113
DKI JAKARTA,Sep-15,133
GORONTALO,Sep-15,13
JAMBI,Sep-15,40
JAWA BARAT,Sep-15,776
JAWA TENGAH,Sep-15,425
JAWA TIMUR,Sep-15,442
KALIMANTAN BARAT,Sep-15,29
KALIMANTAN SELATA,Sep-15,39
KALIMANTAN TENGAH,Sep-15,28
KALIMANTAN TIMUR,Sep-15,301
KALIMANTAN UTARA,Sep-15,54
KEPULAUAN RIAU,Sep-15,231
LAMPUNG,Sep-15,107
MALUKU,Sep-15,1
MALUKU UTARA,Sep-15,7
NUSA TENGGARA BARAT,Sep-15,17
NUSA TENGGARA TIMUR,Sep-15,0
PAPUA,Sep-15,13
PAPUA BARAT,Sep-15,4
RIAU,Sep-15,251
SULAWESI BARAT,Sep-15,27
SULAWESI SELATA,Sep-15,185
SULAWESI TENGAH,Sep-15,67
SULAWESI TENGGARA,Sep-15,50
SULAWESI UTARA,Sep-15,0
SUMATERA BARAT,Sep-15,222
SUMATERA SELATA,Sep-15,116
SUMATERA UTARA,Sep-15,521
,,
ACEH,Aug-15,107
BABEL,Aug-15,9
BALI,Aug-15,411
BANTEN,Aug-15,148
BENGKULU,Aug-15,82
D.I YOGYA,Aug-15,132
DKI JAKARTA,Aug-15,173
GORONTALO,Aug-15,7
JAMBI,Aug-15,50
JAWA BARAT,Aug-15,"1,041"
JAWA TENGAH,Aug-15,573
JAWA TIMUR,Aug-15,607
KALIMANTAN BARAT,Aug-15,8
KALIMANTAN SELATA,Aug-15,45
