Region,Date,Cases
ACEH,Jul-24,343
BABEL,Jul-24,153
BALI,Jul-24,"1,243"
BANTEN,Jul-24,790
BENGKULU,Jul-24,145
D.I YOGYA,Jul-24,263
DKI JAKARTA,Jul-24,712
GORONTALO,Jul-24,104
JAMBI,Jul-24,187
JAWA BARAT,Jul-24,"4,717"
JAWA TENGAH,Jul-24,"1,526"
JAWA TIMUR,Jul-24,986
KALIMANTAN BARAT,Jul-24,80
KALIMANTAN SELATA,Jul-24,79
KALIMANTAN TENGAH,Jul-24,62
KALIMANTAN TIMUR,Jul-24,865
KALIMANTAN UTARA,Jul-24,65
KEPULAUAN RIAU,Jul-24,199
LAMPUNG,Jul-24,652
MALUKU,Jul-24,0
MALUKU UTARA,Jul-24,107
NUSA TENGGARA BARAT,Jul-24,275
NUSA TENGGARA TIMUR,Jul-24,37
PAPUA,Jul-24,
PAPUA BARAT,Jul-24,
PAPUA BARAT DAYA,Jul-24,
PAPUA PEGUNUNGAN,Jul-24,
PAPUA SELATAN,Jul-24,
PAPUA TENGAH,Jul-24,
RIAU,Jul-24,262
SULAWESI BARAT,Jul-24,194
SULAWESI SELATA,Jul-24,462
SULAWESI TENGAH,Jul-24,174
SULAWESI TENGGARA,Jul-24,49
SULAWESI UTARA,Jul-24,241
SUMATERA BARAT,Jul-24,219
SUMATERA SELATA,Jul-24,158
SUMATERA UTARA,Jul-24,"1,145"
ACEH,Jun-24,213
BABEL,Jun-24,125
BALI,Jun-24,"2,177"
BANTEN,Jun-24,"1,291"
BENGKULU,Jun-24,235
D.I YOGYA,Jun-24,379
DKI JAKARTA,Jun-24,"1,202"
GORONTALO,Jun-24,76
JAMBI,Jun-24,164
JAWA BARAT,Jun-24,"6,503"
JAWA TENGAH,Jun-24,"1,752"
JAWA TIMUR,Jun-24,"3,175"
KALIMANTAN BARAT,Jun-24,79
KALIMANTAN SELATA,Jun-24,64
KALIMANTAN TENGAH,Jun-24,96
KALIMANTAN TIMUR,Jun-24,692
