Month,Year,Value,Country
Dec,2024,NA,India
Nov,2024,NA,India
Oct,2024,51183.0,India
Sep,2024,41375.0,India
Aug,2024,32388.0,India
July,2024,27675.0,India
June,2024,7499.0,India
May,2024,5145.0,India
Apr,2024,3342.0,India
Mar,2024,5597.0,India
Feb,2024,5429.0,India
Jan,2024,5079.0,India
Dec,2024,NA,Maldives
Nov,2024,NA,Maldives
Oct,2024,117.0,Maldives
Sep,2024,178.0,Maldives
Aug,2024,394.0,Maldives
July,2024,440.0,Maldives
June,2024,618.0,Maldives
May,2024,667.0,Maldives
Apr,2024,255.0,Maldives
Mar,2024,125.0,Maldives
Feb,2024,120.0,Maldives
Jan,2024,138.0,Maldives
Dec,2024,NA,Myanmar
Nov,2024,NA,Myanmar
Oct,2024,690.0,Myanmar
Sep,2024,933.0,Myanmar
Aug,2024,1239.0,Myanmar
July,2024,1236.0,Myanmar
June,2024,574.0,Myanmar
May,2024,311.0,Myanmar
Apr,2024,203.0,Myanmar
Mar,2024,176.0,Myanmar
Feb,2024,181.0,Myanmar
Jan,2024,208.0,Myanmar
Dec,2023,576.0,Nepal
Dec,2024,NA,Nepal
Nov,2023,2805.0,Nepal
Nov,2024,4919.0,Nepal
Oct,2023,12699.0,Nepal
Oct,2024,10952.0,Nepal
Sep,2023,13912.0,Nepal
Sep,2024,10621.0,Nepal
Aug,2023,14534.0,Nepal
Aug,2024,5163.0,Nepal
July,2023,6459.0,Nepal
July,2024,1249.0,Nepal
June,2023,1026.0,Nepal
June,2024,377.0,Nepal
May,2023,163.0,Nepal
May,2024,277.0,Nepal
Apr,2023,158.0,Nepal
Apr,2024,233.0,Nepal
Mar,2023,195.0,Nepal
Mar,2024,210.0,Nepal
Feb,2023,130.0,Nepal
Feb,2024,182.0,Nepal
Jan,2023,133.0,Nepal
Jan,2024,254.0,Nepal
Dec,2007,8794.0,Indonesia
Dec,2008,10798.0,Indonesia
Dec,2009,10946.0,Indonesia
Dec,2010,5581.0,Indonesia
Dec,2011,6743.0,Indonesia
Dec,2012,8484.0,Indonesia
Dec,2013,4706.0,Indonesia
Dec,2014,7856.0,Indonesia
Dec,2015,8294.0,Indonesia
Dec,2016,6733.0,Indonesia
Dec,2017,4113.0,Indonesia
Dec,2018,6525.0,Indonesia
Dec,2019,5767.0,Indonesia
Dec,2020,3016.0,Indonesia
Dec,2021,13551.0,Indonesia
Dec,2022,8935.0,Indonesia
Dec,2023,12285.0,Indonesia
Dec,2024,NA,Indonesia
Nov,2007,6893.0,Indonesia
Nov,2008,8841.0,Indonesia
Nov,2009,9850.0,Indonesia
Nov,2010,7705.0,Indonesia
Nov,2011,5725.0,Indonesia
Nov,2012,6750.0,Indonesia
Nov,2013,4870.0,Indonesia
Nov,2014,7877.0,Indonesia
Nov,2015,6780.0,Indonesia
Nov,2016,8669.0,Indonesia
Nov,2017,4438.0,Indonesia
Nov,2018,6873.0,Indonesia
Nov,2019,5425.0,Indonesia
Nov,2020,2963.0,Indonesia
Nov,2021,9899.0,Indonesia
Nov,2022,9423.0,Indonesia
Nov,2023,10082.0,Indonesia
Nov,2024,NA,Indonesia
Oct,2007,5047.0,Indonesia
Oct,2008,6842.0,Indonesia
Oct,2009,8345.0,Indonesia
Oct,2010,8149.0,Indonesia
Oct,2011,4837.0,Indonesia
Oct,2012,5507.0,Indonesia
Oct,2013,5703.0,Indonesia
Oct,2014,8149.0,Indonesia
Oct,2015,5215.0,Indonesia
Oct,2016,8855.0,Indonesia
Oct,2017,4127.0,Indonesia
Oct,2018,5508.0,Indonesia
Oct,2019,4376.0,Indonesia
Oct,2020,2419.0,Indonesia
Oct,2021,6092.0,Indonesia
Oct,2022,10135.0,Indonesia
Oct,2023,8339.0,Indonesia
Oct,2024,1019.0,Indonesia
Sep,2007,5181.0,Indonesia
Sep,2008,5398.0,Indonesia
Sep,2009,7598.0,Indonesia
Sep,2010,7986.0,Indonesia
Sep,2011,3913.0,Indonesia
Sep,2012,4341.0,Indonesia
Sep,2013,6063.0,Indonesia
Sep,2014,7634.0,Indonesia
Sep,2015,4846.0,Indonesia
Sep,2016,9277.0,Indonesia
Sep,2017,3514.0,Indonesia
Sep,2018,4487.0,Indonesia
Sep,2019,4154.0,Indonesia
Sep,2020,2743.0,Indonesia
Sep,2021,4057.0,Indonesia
Sep,2022,10994.0,Indonesia
Sep,2023,7946.0,Indonesia
Sep,2024,8653.0,Indonesia
Aug,2007,7470.0,Indonesia
Aug,2008,5655.0,Indonesia
Aug,2009,9826.0,Indonesia
Aug,2010,9615.0,Indonesia
Aug,2011,4372.0,Indonesia
Aug,2012,4460.0,Indonesia
Aug,2013,7173.0,Indonesia
Aug,2014,7604.0,Indonesia
Aug,2015,5485.0,Indonesia
Aug,2016,11342.0,Indonesia
Aug,2017,3618.0,Indonesia
Aug,2018,4795.0,Indonesia
Aug,2019,5386.0,Indonesia
