Month,Year,Value,Chart_Type,Country
Jan,2024,5079.0,line,India
Feb,2024,5429.0,line,India
Mar,2024,5597.0,line,India
Apr,2024,3342.0,line,India
May,2024,5145.0,line,India
June,2024,7499.0,line,India
July,2024,27675.0,line,India
Aug,2024,32388.0,line,India
Sep,2024,41375.0,line,India
Oct,2024,51183.0,line,India
Nov,2024,30354.0,line,India
Dec,2024,17359.0,line,India
Jan,2025,4700.0,line,India
Feb,2025,3806.0,line,India
Mar,2025,3517.0,line,India
Apr,2025,2700.0,line,India
May,2025,3766.0,line,India
June,2025,6459.0,line,India
July,2025,10302.0,line,India
Aug,2025,14303.0,line,India
Sep,2025,18803.0,line,India
Oct,2025,22659.0,line,India
Nov,2025,22175.0,line,India
Dec,2025,7539.0,line,India
Jan,2026,3544.0,line,India
Feb,2026,0.0,line,India
Mar,2026,0.0,line,India
Apr,2026,0.0,line,India
May,2026,0.0,line,India
June,2026,0.0,line,India
July,2026,0.0,line,India
Aug,2026,0.0,line,India
Sep,2026,0.0,line,India
Oct,2026,0.0,line,India
Nov,2026,0.0,line,India
Dec,2026,0.0,line,India
Jan,2024,138.0,line,Maldives
Feb,2024,120.0,line,Maldives
Mar,2024,125.0,line,Maldives
Apr,2024,255.0,line,Maldives
May,2024,667.0,line,Maldives
June,2024,618.0,line,Maldives
July,2024,440.0,line,Maldives
Aug,2024,394.0,line,Maldives
Sep,2024,180.0,line,Maldives
Oct,2024,117.0,line,Maldives
Nov,2024,124.0,line,Maldives
Dec,2024,68.0,line,Maldives
Jan,2025,72.0,line,Maldives
Feb,2025,74.0,line,Maldives
Mar,2025,69.0,line,Maldives
Apr,2025,120.0,line,Maldives
May,2025,116.0,line,Maldives
June,2025,165.0,line,Maldives
July,2025,168.0,line,Maldives
Aug,2025,256.0,line,Maldives
Sep,2025,252.0,line,Maldives
Oct,2025,373.0,line,Maldives
Nov,2025,376.0,line,Maldives
Dec,2025,411.0,line,Maldives
Jan,2026,631.0,line,Maldives
Feb,2026,0.0,line,Maldives
Mar,2026,0.0,line,Maldives
Apr,2026,0.0,line,Maldives
May,2026,0.0,line,Maldives
June,2026,0.0,line,Maldives
July,2026,0.0,line,Maldives
Aug,2026,0.0,line,Maldives
Sep,2026,0.0,line,Maldives
Oct,2026,0.0,line,Maldives
