Period,Series,Value,Chart_Type,Country
Jan-2024,Total cases,5079.0,bar,India
Feb-2024,Total cases,5429.0,bar,India
Mar-2024,Total cases,5597.0,bar,India
Apr-2024,Total cases,3342.0,bar,India
May-2024,Total cases,5145.0,bar,India
June-2024,Total cases,7499.0,bar,India
July-2024,Total cases,27675.0,bar,India
Aug-2024,Total cases,32388.0,bar,India
Sep-2024,Total cases,41375.0,bar,India
Oct-2024,Total cases,51183.0,bar,India
Nov-2024,Total cases,30354.0,bar,India
Dec-2024,Total cases,17359.0,bar,India
Jan-2025,Total cases,4700.0,bar,India
Feb-2025,Total cases,3806.0,bar,India
Mar-2025,Total cases,3517.0,bar,India
Apr-2025,Total cases,2700.0,bar,India
May-2025,Total cases,3766.0,bar,India
June-2025,Total cases,6459.0,bar,India
July-2025,Total cases,10302.0,bar,India
Aug-2025,Total cases,14303.0,bar,India
Sep-2025,Total cases,18803.0,bar,India
Oct-2025,Total cases,22659.0,bar,India
Jan-2024,Total cases,139.0,bar,Maldives
Feb-2024,Total cases,120.0,bar,Maldives
Mar-2024,Total cases,126.0,bar,Maldives
Apr-2024,Total cases,256.0,bar,Maldives
May-2024,Total cases,675.0,bar,Maldives
June-2024,Total cases,627.0,bar,Maldives
July-2024,Total cases,440.0,bar,Maldives
Aug-2024,Total cases,395.0,bar,Maldives
Sep-2024,Total cases,180.0,bar,Maldives
Oct-2024,Total cases,127.0,bar,Maldives
Nov-2024,Total cases,140.0,bar,Maldives
Dec-2024,Total cases,69.0,bar,Maldives
Jan-2025,Total cases,74.0,bar,Maldives
Feb-2025,Total cases,76.0,bar,Maldives
Mar-2025,Total cases,70.0,bar,Maldives
Apr-2025,Total cases,127.0,bar,Maldives
May-2025,Total cases,118.0,bar,Maldives
June-2025,Total cases,168.0,bar,Maldives
July-2025,Total cases,194.0,bar,Maldives
Aug-2025,Total cases,260.0,bar,Maldives
Sep-2025,Total cases,254.0,bar,Maldives
Jan-2024,Total cases,208.0,bar,Myanmar
Feb-2024,Total cases,181.0,bar,Myanmar
Mar-2024,Total cases,176.0,bar,Myanmar
Apr-2024,Total cases,203.0,bar,Myanmar
May-2024,Total cases,311.0,bar,Myanmar
June-2024,Total cases,574.0,bar,Myanmar
July-2024,Total cases,1236.0,bar,Myanmar
Aug-2024,Total cases,1239.0,bar,Myanmar
Sep-2024,Total cases,933.0,bar,Myanmar
Oct-2024,Total cases,690.0,bar,Myanmar
Nov-2024,Total cases,380.0,bar,Myanmar
Dec-2024,Total cases,257.0,bar,Myanmar
Jan-2025,Total cases,172.0,bar,Myanmar
Feb-2025,Total cases,120.0,bar,Myanmar
Mar-2025,Total cases,167.0,bar,Myanmar
Apr-2025,Total cases,235.0,bar,Myanmar
May-2025,Total cases,699.0,bar,Myanmar
June-2025,Total cases,1744.0,bar,Myanmar
July-2025,Total cases,3065.0,bar,Myanmar
Aug-2025,Total cases,2415.0,bar,Myanmar
Sep-2025,Total cases,1576.0,bar,Myanmar
Jan-2024,Total cases,499.0,bar,Nepal
Feb-2024,Total cases,408.0,bar,Nepal
Mar-2024,Total cases,374.0,bar,Nepal
Apr-2024,Total cases,463.0,bar,Nepal
May-2024,Total cases,495.0,bar,Nepal
